Model ID,English Name,Chinese Name,System
FJ3163,third thoracic vertebra,第3胸椎,skeletal
FJ3164,fourth cervical vertebra,第4颈椎,skeletal
FJ3165,fourth lumbar vertebra,第4腰椎,skeletal
FJ3166,fourth thoracic vertebra,第4胸椎,skeletal
FJ3167,fifth cervical vertebra,第5颈椎,skeletal
FJ3168,fifth lumbar vertebra,第5腰椎,skeletal
FJ3169,fifth thoracic vertebra,第5胸椎,skeletal
FJ3170,sixth cervical vertebra,第6颈椎,skeletal
FJ3171,sixth thoracic vertebra,第6胸椎,skeletal
FJ3172,seventh cervical vertebra,第7颈椎,skeletal
FJ3173,seventh thoracic vertebra,第7胸椎,skeletal
FJ3174,eighth thoracic vertebra,第8胸椎,skeletal
FJ3175,ninth thoracic vertebra,第9胸椎,skeletal
FJ3176,cervical vertebra,颈椎,skeletal
FJ3177,cervical vertebra,颈椎,skeletal
FJ3178,body of sternum,胸骨体,skeletal
FJ3179,distal phalanx of left second toe,左足第2趾远节趾骨,skeletal
FJ3180,distal phalanx of left third toe,左足第3趾远节趾骨,skeletal
FJ3181,distal phalanx of left fourth toe,左足第4趾远节趾骨,skeletal
FJ3182,distal phalanx of left big toe,左足拇趾远节趾骨,skeletal
FJ3183,distal phalanx of left index finger,左手示指远节指骨,skeletal
FJ3184,distal phalanx of left little finger,左手小指远节指骨,skeletal
FJ3185,distal phalanx of left little toe,左足小趾远节趾骨,skeletal
FJ3186,distal phalanx of left middle finger,左手中指远节指骨,skeletal
FJ3187,distal phalanx of left ring finger,左手无名指远节指骨,skeletal
FJ3188,distal phalanx of left thumb,左手拇指远节指骨,skeletal
FJ3189,distal phalanx of right second toe,右足第2趾远节趾骨,skeletal
FJ3190,distal phalanx of right third toe,右足第3趾远节趾骨,skeletal
FJ3191,distal phalanx of right fourth toe,右足第4趾远节趾骨,skeletal
FJ3192,distal phalanx of right big toe,右足拇趾远节趾骨,skeletal
FJ3193,distal phalanx of right index finger,右手示指远节指骨,skeletal
FJ3194,distal phalanx of right little finger,右手小指远节指骨,skeletal
FJ3195,distal phalanx of right little toe,右足小趾远节趾骨,skeletal
FJ3196,distal phalanx of right middle finger,右手中指远节指骨,skeletal
FJ3197,distal phalanx of right ring finger,右手无名指远节指骨,skeletal
FJ3198,distal phalanx of right thumb,右手拇指远节指骨,skeletal
FJ3199,pneumatized bone,含气骨,skeletal
FJ3200,cavitated organ,含腔器官,skeletal
FJ3201,cavitated organ,含腔器官,skeletal
FJ3202,intervertebral disk of cervical vertebra,颈椎间盘,skeletal
FJ3203,intervertebral disk of fourth thoracic vertebra,第4胸椎间盘,skeletal
FJ3204,intervertebral disk of fifth thoracic vertebra,第5胸椎间盘,skeletal
FJ3205,intervertebral disk of sixth thoracic vertebra,第6胸椎间盘,skeletal
FJ3206,intervertebral disk of seventh thoracic vertebra,第7胸椎间盘,skeletal
FJ3207,intervertebral disk of eighth thoracic vertebra,第8胸椎间盘,skeletal
FJ3208,intervertebral disk of ninth thoracic vertebra,第9胸椎间盘,skeletal
FJ3209,intervertebral disk of tenth thoracic vertebra,第10胸椎间盘,skeletal
FJ3210,intervertebral disk of eleventh thoracic vertebra,第11胸椎间盘,skeletal
FJ3211,articular disk of symphysis,联合前纤维软骨盘,skeletal
FJ3212,intervertebral disk of first lumbar vertebra,第1腰椎间盘,skeletal
FJ3213,intervertebral disk of third cervical vertebra,第3颈椎间盘,skeletal
FJ3214,intervertebral disk of second lumbar vertebra,第2腰椎间盘,skeletal
FJ3215,intervertebral disk of third lumbar vertebra,第3腰椎间盘,skeletal
FJ3216,intervertebral disk of fourth lumbar vertebra,第4腰椎间盘,skeletal
FJ3217,intervertebral disk of fifth lumbar vertebra,第5腰椎间盘,skeletal
FJ3218,intervertebral disk of fourth cervical vertebra,第4颈椎间盘,skeletal
FJ3219,intervertebral disk of fifth cervical vertebra,第5颈椎间盘,skeletal
FJ3220,intervertebral disk of sixth cervical vertebra,第6颈椎间盘,skeletal
FJ3221,intervertebral disk of seventh cervical vertebra,第7颈椎间盘,skeletal
FJ3222,intervertebral disk of first thoracic vertebra,第1胸椎间盘,skeletal
FJ3223,intervertebral disk of second thoracic vertebra,第2胸椎间盘,skeletal
FJ3224,intervertebral disk of third thoracic vertebra,第3胸椎间盘,skeletal
FJ3225,left tenth rib,左侧第10肋,skeletal
FJ3226,left eleventh rib,左侧第11肋,skeletal
FJ3227,left twelfth rib,左侧第12肋,skeletal
FJ3228,left first rib,左侧第1肋,skeletal
FJ3229,left second rib,左侧第2肋,skeletal
FJ3230,left third rib,左侧第3肋,skeletal
FJ3231,left fourth rib,左侧第4肋,skeletal
FJ3232,left fifth rib,左侧第5肋,skeletal
FJ3233,left sixth rib,左侧第6肋,skeletal
FJ3234,left seventh rib,左侧第7肋,skeletal
FJ3235,left eighth rib,左侧第8肋,skeletal
FJ3236,left ninth rib,左侧第9肋,skeletal
FJ3237,left clavicle,左锁骨,skeletal
FJ3239,left first costal cartilage,左侧第1肋软骨,skeletal
FJ3240,left first metacarpal bone,左手第1掌骨,skeletal
FJ3241,left first metatarsal bone,左足第1跖骨,skeletal
FJ3242,left second costal cartilage,左侧第2肋软骨,skeletal
FJ3243,left second metacarpal bone,左手第2掌骨,skeletal
FJ3244,left second metatarsal bone,左足第2跖骨,skeletal
FJ3245,left third costal cartilage,左侧第3肋软骨,skeletal
FJ3246,left third metacarpal bone,左手第3掌骨,skeletal
FJ3247,left third metatarsal bone,左足第3跖骨,skeletal
FJ3248,left fourth costal cartilage,左侧第4肋软骨,skeletal
FJ3249,left fourth metacarpal bone,左手第4掌骨,skeletal
FJ3250,left fourth metatarsal bone,左足第4跖骨,skeletal
FJ3251,left fifth costal cartilage,左侧第5肋软骨,skeletal
FJ3252,left fifth metacarpal bone,左手第5掌骨,skeletal
FJ3253,left fifth metatarsal bone,左足第5跖骨,skeletal
FJ3254,left sixth costal cartilage,左侧第6肋软骨,skeletal
FJ3255,left seventh costal cartilage,左侧第7肋软骨,skeletal
FJ3256,left calcaneus,左跟骨,skeletal
FJ3257,left capitate,左头状骨,skeletal
FJ3258,left cuboid bone,左骰骨,skeletal
FJ3259,left femur,左股骨,skeletal
FJ3260,left fibula,左腓骨,skeletal
FJ3261,left hamate,左钩骨,skeletal
FJ3262,left humerus,左肱骨,skeletal
FJ3264,left intermediate cuneiform bone,左中间楔骨,skeletal
FJ3265,left lacrimal bone,左泪骨,skeletal
FJ3266,sesamoid bone of left foot,左足籽骨,skeletal
FJ3267,left lateral cuneiform bone,左外侧楔骨,skeletal
FJ3268,left lunate,左月骨,skeletal
FJ3269,left maxilla,左上颌骨,skeletal
FJ3270,sesamoid bone of left foot,左足籽骨,skeletal
FJ3271,left medial cuneiform bone,左内侧楔骨,skeletal
FJ3272,left nasal bone,左鼻骨,skeletal
FJ3273,left palatine bone,左腭骨,skeletal
FJ3274,left parietal bone,左顶骨,skeletal
FJ3275,left patella,左髌骨,skeletal
FJ3276,left pisiform,左豌豆骨,skeletal
FJ3277,left radius,左桡骨,skeletal
FJ3278,left scaphoid,左手舟骨,skeletal
FJ3279,left scapula,左肩胛骨,skeletal
FJ3280,left talus,左距骨,skeletal
FJ3281,left temporal bone,左颞骨,skeletal
FJ3282,left tibia,左胫骨,skeletal
FJ3283,left trapezium,左大多角骨,skeletal
FJ3284,left trapezoid,左小多角骨,skeletal
FJ3285,left triquetral,左三角骨,skeletal
FJ3286,left ulna,左尺骨,skeletal
FJ3287,left zygomatic bone,左颧骨,skeletal
FJ3288,left hip bone,左髋骨,skeletal
FJ3289,cavitated organ,含腔器官,skeletal
FJ3290,zone of bone organ,骨器官骨质区,skeletal
FJ3291,middle phalanx of left ring finger,左手无名指中节指骨,skeletal
FJ3292,middle phalanx of right ring finger,右手无名指中节指骨,skeletal
FJ3293,middle phalanx of left second toe,左足第2趾中节趾骨,skeletal
FJ3294,middle phalanx of left third toe,左足第3趾中节趾骨,skeletal
FJ3295,middle phalanx of left fourth toe,左足第4趾中节趾骨,skeletal
FJ3296,middle phalanx of left index finger,左手示指中节指骨,skeletal
FJ3297,middle phalanx of left little finger,左手小指中节指骨,skeletal
FJ3298,middle phalanx of left little toe,左足小趾中节趾骨,skeletal
FJ3299,middle phalanx of left middle finger,左手中指中节指骨,skeletal
FJ3300,middle phalanx of right second toe,右足第2趾中节趾骨,skeletal
FJ3301,middle phalanx of right third toe,右足第3趾中节趾骨,skeletal
FJ3302,middle phalanx of right fourth toe,右足第4趾中节趾骨,skeletal
FJ3303,middle phalanx of right index finger,右手示指中节指骨,skeletal
FJ3304,middle phalanx of right little finger,右手小指中节指骨,skeletal
FJ3305,middle phalanx of right little toe,右足小趾中节趾骨,skeletal
FJ3306,middle phalanx of right middle finger,右手中指中节指骨,skeletal
FJ3307,navicular bone of left foot,左足舟骨,skeletal
FJ3308,navicular bone of right foot,右足舟骨,skeletal
FJ3309,cavitated organ,含腔器官,skeletal
FJ3310,proximal phalanx of right big toe,右足拇趾近节趾骨,skeletal
FJ3311,proximal phalanx of left third toe,左足第3趾近节趾骨,skeletal
FJ3312,proximal phalanx of left fourth toe,左足第4趾近节趾骨,skeletal
FJ3313,proximal phalanx of left index finger,左手示指近节指骨,skeletal
FJ3314,proximal phalanx of left little finger,左手小指近节指骨,skeletal
FJ3315,proximal phalanx of left little toe,左足小趾近节趾骨,skeletal
FJ3316,proximal phalanx of left middle finger,左手中指近节指骨,skeletal
FJ3317,proximal phalanx of left ring finger,左手无名指近节指骨,skeletal
FJ3318,proximal phalanx of left thumb,左手拇指近节指骨,skeletal
FJ3319,proximal phalanx of right second toe,右足第2趾近节趾骨,skeletal
FJ3320,proximal phalanx of right third toe,右足第3趾近节趾骨,skeletal
FJ3321,proximal phalanx of right fourth toe,右足第4趾近节趾骨,skeletal
FJ3322,proximal phalanx of right index finger,右手示指近节指骨,skeletal
FJ3323,proximal phalanx of right little finger,右手小指近节指骨,skeletal
FJ3324,proximal phalanx of right little toe,右足小趾近节趾骨,skeletal
FJ3325,proximal phalanx of right middle finger,右手中指近节指骨,skeletal
FJ3326,proximal phalanx of right ring finger,右手无名指近节指骨,skeletal
FJ3327,proximal phalanx of right thumb,右手拇指近节指骨,skeletal
FJ3328,proximal phalanx of left second toe,左足第2趾近节趾骨,skeletal
FJ3329,proximal phalanx of left big toe,左足拇趾近节趾骨,skeletal
FJ3330,right tenth rib,右侧第10肋,skeletal
FJ3331,right eleventh rib,右侧第11肋,skeletal
FJ3332,right twelfth rib,右侧第12肋,skeletal
FJ3333,right first costal cartilage,右侧第1肋软骨,skeletal
FJ3334,right first rib,右侧第1肋,skeletal
FJ3335,right second costal cartilage,右侧第2肋软骨,skeletal
FJ3336,right second rib,右侧第2肋,skeletal
FJ3337,right third costal cartilage,右侧第3肋软骨,skeletal
FJ3338,right third rib,右侧第3肋,skeletal
FJ3339,right fourth costal cartilage,右侧第4肋软骨,skeletal
FJ3340,right fourth rib,右侧第4肋,skeletal
FJ3341,right fifth costal cartilage,右侧第5肋软骨,skeletal
FJ3342,right fifth rib,右侧第5肋,skeletal
FJ3343,right sixth costal cartilage,右侧第6肋软骨,skeletal
FJ3344,right sixth rib,右侧第6肋,skeletal
FJ3345,right seventh costal cartilage,右侧第7肋软骨,skeletal
FJ3346,right seventh rib,右侧第7肋,skeletal
FJ3347,right eighth rib,右侧第8肋,skeletal
FJ3348,right ninth rib,右侧第9肋,skeletal
FJ3349,right radius,右桡骨,skeletal
FJ3350,right first metacarpal bone,右手第1掌骨,skeletal
FJ3351,right first metatarsal bone,右足第1跖骨,skeletal
FJ3352,right second metacarpal bone,右手第2掌骨,skeletal
FJ3353,right second metatarsal bone,右足第2跖骨,skeletal
FJ3354,right third metacarpal bone,右手第3掌骨,skeletal
FJ3355,right third metatarsal bone,右足第3跖骨,skeletal
FJ3356,right fourth metacarpal bone,右手第4掌骨,skeletal
FJ3357,right fourth metatarsal bone,右足第4跖骨,skeletal
FJ3358,right fifth metacarpal bone,右手第5掌骨,skeletal
FJ3359,right fifth metatarsal bone,右足第5跖骨,skeletal
FJ3360,right calcaneus,右跟骨,skeletal
FJ3361,right capitate,右头状骨,skeletal
FJ3362,right clavicle,右锁骨,skeletal
FJ3364,right cuboid bone,右骰骨,skeletal
FJ3365,right femur,右股骨,skeletal
FJ3366,right fibula,右腓骨,skeletal
FJ3367,right hamate,右钩骨,skeletal
FJ3368,right humerus,右肱骨,skeletal
FJ3370,right intermediate cuneiform bone,右中间楔骨,skeletal
FJ3371,right lacrimal bone,右泪骨,skeletal
FJ3372,sesamoid bone of right foot,右足籽骨,skeletal
FJ3373,right lateral cuneiform bone,右外侧楔骨,skeletal
FJ3374,right lunate,右月骨,skeletal
FJ3375,right maxilla,右上颌骨,skeletal
FJ3376,sesamoid bone of right foot,右足籽骨,skeletal
FJ3377,right medial cuneiform bone,右内侧楔骨,skeletal
FJ3378,right nasal bone,右鼻骨,skeletal
FJ3379,right palatine bone,右腭骨,skeletal
FJ3380,right parietal bone,右顶骨,skeletal
FJ3381,right patella,右髌骨,skeletal
FJ3382,right pisiform,右豌豆骨,skeletal
FJ3383,right scaphoid,右手舟骨,skeletal
FJ3384,right scapula,右肩胛骨,skeletal
FJ3385,right talus,右距骨,skeletal
FJ3386,right temporal bone,右颞骨,skeletal
FJ3387,right tibia,右胫骨,skeletal
FJ3388,right trapezium,右大多角骨,skeletal
FJ3389,right trapezoid,右小多角骨,skeletal
FJ3390,right triquetral,右三角骨,skeletal
FJ3391,right ulna,右尺骨,skeletal
FJ3392,right zygomatic bone,右颧骨,skeletal
FJ3393,cavitated organ,含腔器官,skeletal
FJ3394,pneumatized bone,含气骨,skeletal
FJ3395,cavitated organ,含腔器官,skeletal
FJ3396,region of visceral peritoneum,脏腹膜区,skeletal
FJ1284,check ligament of left lateral rectus,左外侧直肌节制韧带,muscular
FJ1292,check ligament of left medial rectus,左内侧直肌节制韧带,muscular
FJ1294,left inferior oblique,左下斜肌,muscular
FJ1295,left inferior rectus,左下直肌,muscular
FJ1304,left lateral rectus,左外侧直肌,muscular
FJ1306,left levator palpebrae superioris,左上睑提肌,muscular
FJ1308,left medial rectus,左内侧直肌,muscular
FJ1322,left superior oblique,左上斜肌,muscular
FJ1323,left superior rectus,左上直肌,muscular
FJ1329,trochlea of left superior oblique,左上斜肌滑车,muscular
FJ1334,check ligament of right lateral rectus,右外侧直肌节制韧带,muscular
FJ1335,check ligament of right medial rectus,右内侧直肌节制韧带,muscular
FJ1343,tendon of right levator palpebrae superioris,右上睑提肌腱,muscular
FJ1345,right inferior oblique,右下斜肌,muscular
FJ1346,right inferior rectus,右下直肌,muscular
FJ1355,right lateral rectus,右外侧直肌,muscular
FJ1357,right levator palpebrae superioris,右上睑提肌,muscular
FJ1359,right medial rectus,右内侧直肌,muscular
FJ1373,right superior oblique,右上斜肌,muscular
FJ1374,right superior rectus,右上直肌,muscular
FJ1380,trochlea of right superior oblique,右上斜肌滑车,muscular
FJ1383,first lumbrical of right foot,右足第1蚓状肌,muscular
FJ1383M,first lumbrical of left foot,左足第1蚓状肌,muscular
FJ1384,first plantar interosseous of right foot,右足第1骨间跖侧肌,muscular
FJ1384M,first plantar interosseous of left foot,左足第1骨间跖侧肌,muscular
FJ1385,second lumbrical of right foot,右足第2蚓状肌,muscular
FJ1385M,second lumbrical of left foot,左足第2蚓状肌,muscular
FJ1386,second plantar interosseous of right foot,右足第2骨间跖侧肌,muscular
FJ1386M,second plantar interosseous of left foot,左足第2骨间跖侧肌,muscular
FJ1387,third lumbrical of right foot,右足第3蚓状肌,muscular
FJ1387M,third lumbrical of left foot,左足第3蚓状肌,muscular
FJ1388,third plantar interosseous of right foot,右足第3骨间跖侧肌,muscular
FJ1388M,third plantar interosseous of left foot,左足第3骨间跖侧肌,muscular
FJ1389,fourth lumbrical of right foot,右足第4蚓状肌,muscular
FJ1389M,fourth lumbrical of left foot,左足第4蚓状肌,muscular
FJ1390,abductor digiti minimi of right foot,右足小趾展肌,muscular
FJ1390M,abductor digiti minimi of left foot,左足小趾展肌,muscular
FJ1391,flexor digiti minimi brevis of right foot,右足小趾短屈肌,muscular
FJ1391M,flexor digiti minimi brevis of left foot,左足小趾短屈肌,muscular
FJ1393,lateral head of right flexor hallucis brevis,右拇短屈肌外侧头,muscular
FJ1393M,lateral head of left flexor hallucis brevis,左拇短屈肌外侧头,muscular
FJ1394,lateral head of right gastrocnemius,右腓肠肌外侧头,muscular
FJ1394M,lateral head of left gastrocnemius,左腓肠肌外侧头,muscular
FJ1395,long head of right biceps femoris,右股二头肌长头,muscular
FJ1395M,long head of left biceps femoris,左股二头肌长头,muscular
FJ1396,medial head of right flexor hallucis brevis,右拇短屈肌内侧头,muscular
FJ1396M,medial head of left flexor hallucis brevis,左拇短屈肌内侧头,muscular
FJ1397,medial head of right gastrocnemius,右腓肠肌内侧头,muscular
FJ1397M,medial head of left gastrocnemius,左腓肠肌内侧头,muscular
FJ1398,oblique head of right adductor hallucis,右拇收肌斜头,muscular
FJ1398M,oblique head of left adductor hallucis,左拇收肌斜头,muscular
FJ1399,opponens digiti minimi of right foot,右足小趾对掌肌,muscular
FJ1399M,opponens digiti minimi of left foot,左足小趾对掌肌,muscular
FJ1400,right abductor hallucis,右拇展肌,muscular
FJ1400M,left abductor hallucis,左拇展肌,muscular
FJ1401,right adductor brevis,右短收肌,muscular
FJ1401M,left adductor brevis,左短收肌,muscular
FJ1402,right adductor longus,右长收肌,muscular
FJ1402M,left adductor longus,左长收肌,muscular
FJ1403,right adductor magnus,右大收肌,muscular
FJ1403M,left adductor magnus,左大收肌,muscular
FJ1404,right adductor minimus,右小收肌,muscular
FJ1404M,left adductor minimus,左小收肌,muscular
FJ1405,right calcaneal tendon,右跟腱,muscular
FJ1405M,left calcaneal tendon,左跟腱,muscular
FJ1406,right extensor digitorum longus,右趾长伸肌,muscular
FJ1406M,left extensor digitorum longus,左趾长伸肌,muscular
FJ1407,right extensor hallucis brevis,右拇短伸肌,muscular
FJ1407M,left extensor hallucis brevis,左拇短伸肌,muscular
FJ1408,right extensor hallucis longus,右拇长伸肌,muscular
FJ1408M,left extensor hallucis longus,左拇长伸肌,muscular
FJ1409,right fibularis brevis,右腓骨短肌,muscular
FJ1409M,left fibularis brevis,左腓骨短肌,muscular
FJ1410,right fibularis longus,右腓骨长肌,muscular
FJ1410M,left fibularis longus,左腓骨长肌,muscular
FJ1411,right fibularis tertius,右第3腓骨肌,muscular
FJ1411M,left fibularis tertius,左第3腓骨肌,muscular
FJ1412,right flexor accessorius,右足底方肌,muscular
FJ1412M,left flexor accessorius,左足底方肌,muscular
FJ1413,right flexor digitorum brevis,右趾短屈肌,muscular
FJ1413M,left flexor digitorum brevis,左趾短屈肌,muscular
FJ1414,right flexor digitorum longus,右趾长屈肌,muscular
FJ1414M,left flexor digitorum longus,左趾长屈肌,muscular
FJ1415,right flexor hallucis longus,右拇长屈肌,muscular
FJ1415M,left flexor hallucis longus,左拇长屈肌,muscular
FJ1416,right gemellus inferior,右下孖肌,muscular
FJ1416M,left gemellus inferior,左下孖肌,muscular
FJ1417,right gemellus superior,右上孖肌,muscular
FJ1417M,left gemellus superior,左上孖肌,muscular
FJ1418,right gluteus maximus,右臀大肌,muscular
FJ1418M,left gluteus maximus,左臀大肌,muscular
FJ1419,right gluteus medius,右臀中肌,muscular
FJ1419M,left gluteus medius,左臀中肌,muscular
FJ1420,right gluteus minimus,右臀小肌,muscular
FJ1420M,left gluteus minimus,左臀小肌,muscular
FJ1421,right gracilis,右股薄肌,muscular
FJ1421M,left gracilis,左股薄肌,muscular
FJ1422,right iliacus,右髂肌,muscular
FJ1422M,left iliacus,左髂肌,muscular
FJ1423,right iliotibial tract,右髂胫束,muscular
FJ1423M,left iliotibial tract,左髂胫束,muscular
FJ1425,right obturator externus,右闭孔外肌,muscular
FJ1425M,left obturator externus,左闭孔外肌,muscular
FJ1426,right obturator internus,右闭孔内肌,muscular
FJ1426M,left obturator internus,左闭孔内肌,muscular
FJ1427,right pectineus,右耻骨肌,muscular
FJ1427M,left pectineus,左耻骨肌,muscular
FJ1428,right piriformis,右梨状肌,muscular
FJ1428M,left piriformis,左梨状肌,muscular
FJ1429,right plantaris,右跖肌,muscular
FJ1429M,left plantaris,左跖肌,muscular
FJ1430,right popliteus,右腘肌,muscular
FJ1430M,left popliteus,左腘肌,muscular
FJ1431,right psoas major,右腰大肌,muscular
FJ1431M,left psoas major,左腰大肌,muscular
FJ1432,right quadratus femoris,右股方肌,muscular
FJ1432M,left quadratus femoris,左股方肌,muscular
FJ1433,right rectus femoris,右股直肌,muscular
FJ1433M,left rectus femoris,左股直肌,muscular
FJ1434,right sartorius,右缝匠肌,muscular
FJ1434M,left sartorius,左缝匠肌,muscular
FJ1435,right semimembranosus,右半膜肌,muscular
FJ1435M,left semimembranosus,左半膜肌,muscular
FJ1436,right semitendinosus,右半腱肌,muscular
FJ1436M,left semitendinosus,左半腱肌,muscular
FJ1437,right soleus,右比目鱼肌,muscular
FJ1437M,left soleus,左比目鱼肌,muscular
FJ1438,right tensor fasciae latae,右阔筋膜张肌,muscular
FJ1438M,left tensor fasciae latae,左阔筋膜张肌,muscular
FJ1439,right tibialis anterior,右胫骨前肌,muscular
FJ1439M,left tibialis anterior,左胫骨前肌,muscular
FJ1440,right tibialis posterior,右胫骨后肌,muscular
FJ1440M,left tibialis posterior,左胫骨后肌,muscular
FJ1441,right vastus intermedius,右股中间肌,muscular
FJ1441M,left vastus intermedius,左股中间肌,muscular
FJ1442,right vastus lateralis,右股外侧肌,muscular
FJ1442M,left vastus lateralis,左股外侧肌,muscular
FJ1443,right vastus medialis,右股内侧肌,muscular
FJ1443M,left vastus medialis,左股内侧肌,muscular
FJ1444,short head of right biceps femoris,右股二头肌短头,muscular
FJ1444M,short head of left biceps femoris,左股二头肌短头,muscular
FJ1445,transverse head of right adductor hallucis,右拇收肌横头,muscular
FJ1445M,transverse head of left adductor hallucis,左拇收肌横头,muscular
FJ1446,abdominal part of right pectoralis major,右胸大肌腹部,muscular
FJ1446M,abdominal part of left pectoralis major,左胸大肌腹部,muscular
FJ1447,clavicular part of right pectoralis major,右胸大肌锁骨部,muscular
FJ1447M,clavicular part of left pectoralis major,左胸大肌锁骨部,muscular
FJ1449M,left coccygeus,左尾骨肌,muscular
FJ1450,superficial perineal muscle,会阴浅肌,muscular
FJ1450M,superficial perineal muscle,会阴浅肌,muscular
FJ1451,external intercostal muscle,肋间外肌,muscular
FJ1451M,external intercostal muscle,肋间外肌,muscular
FJ1452,right external oblique,右腹外斜肌,muscular
FJ1452M,left external oblique,左腹外斜肌,muscular
FJ1453M,left iliococcygeus,左髂尾肌,muscular
FJ1454,innermost intercostal muscle,肋间最内肌,muscular
FJ1454M,innermost intercostal muscle,肋间最内肌,muscular
FJ1455,internal intercostal muscle,肋间内肌,muscular
FJ1455M,internal intercostal muscle,肋间内肌,muscular
FJ1456,right pectoralis minor,右胸小肌,muscular
FJ1456M,left pectoralis minor,左胸小肌,muscular
FJ1457M,left pubococcygeus,左耻尾肌,muscular
FJ1458M,left puborectalis,左耻骨直肠肌,muscular
FJ1459,right serratus anterior,右前锯肌,muscular
FJ1459M,left serratus anterior,左前锯肌,muscular
FJ1460,right subclavius,右锁骨下肌,muscular
FJ1460M,left subclavius,左锁骨下肌,muscular
FJ1461,right transversus thoracis,右胸横肌,muscular
FJ1461M,left transversus thoracis,左胸横肌,muscular
FJ1462,set of right levatores costarum breves,右肋提短肌群,muscular
FJ1462M,set of left levatores costarum breves,左肋提短肌群,muscular
FJ1463,set of right levatores costarum longi,右肋提长肌群,muscular
FJ1463M,set of left levatores costarum longi,左肋提长肌群,muscular
FJ1464,sternocostal part of right pectoralis major,右胸大肌胸肋部,muscular
FJ1464M,sternocostal part of left pectoralis major,左胸大肌胸肋部,muscular
FJ1465,tendinous arch of levator ani,提肛肌腱弓,muscular
FJ1465M,tendinous arch of levator ani,提肛肌腱弓,muscular
FJ1466,abductor digiti minimi of right hand,右手小指展肌,muscular
FJ1466M,abductor digiti minimi of left hand,左手小指展肌,muscular
FJ1467,acromial part of right deltoid,右三角肌肩峰部,muscular
FJ1467M,acromial part of left deltoid,左三角肌肩峰部,muscular
FJ1468,clavicular part of right deltoid,右三角肌锁骨部,muscular
FJ1468M,clavicular part of left deltoid,左三角肌锁骨部,muscular
FJ1469,left flexor pollicis brevis,左拇短屈肌,muscular
FJ1469M,right flexor pollicis brevis,右拇短屈肌,muscular
FJ1470,flexor digiti minimi brevis of right hand,右手小指短屈肌,muscular
FJ1470M,flexor digiti minimi brevis of left hand,左手小指短屈肌,muscular
FJ1472,right extensor carpi ulnaris,右尺侧腕伸肌,muscular
FJ1472M,left extensor carpi ulnaris,左尺侧腕伸肌,muscular
FJ1473,humeral head of right flexor carpi ulnaris,右尺侧腕屈肌肱骨头,muscular
FJ1473M,humeral head of left flexor carpi ulnaris,左尺侧腕屈肌肱骨头,muscular
FJ1474,humeral head of right pronator teres,右旋前圆肌肱骨头,muscular
FJ1474M,humeral head of left pronator teres,左旋前圆肌肱骨头,muscular
FJ1475,right flexor digitorum superficialis,右指浅屈肌,muscular
FJ1475M,left flexor digitorum superficialis,左指浅屈肌,muscular
FJ1477,lateral head of right triceps brachii,右肱三头肌外侧头,muscular
FJ1477M,lateral head of left triceps brachii,左肱三头肌外侧头,muscular
FJ1478,long head of right biceps brachii,右肱二头肌长头,muscular
